Timestamp;MoveID;SelectedColor;Score;FreeSlots;UnblockValue;TargetBus;Status
16:15:07;1;RGBA(0.055, 0.218, 0.753, 0.000);2000000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
16:15:07;2;RGBA(0.055, 0.218, 0.753, 0.000);2000000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
16:15:07;3;RGBA(0.055, 0.218, 0.753, 0.000);2000000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
16:15:08;4;RGBA(0.753, 0.055, 0.736, 0.000);2000000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:09;5;RGBA(0.753, 0.055, 0.736, 0.000);2000000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:09;6;RGBA(0.753, 0.055, 0.736, 0.000);2000000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:10;7;RGBA(0.755, 0.055, 0.055, 0.000);2050000,00;5;100,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
16:15:10;8;RGBA(0.755, 0.055, 0.055, 0.000);2050000,00;5;100,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
16:15:11;9;RGBA(0.755, 0.055, 0.055, 0.000);2000000,00;5;0,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
16:15:12;10;RGBA(0.055, 0.218, 0.753, 0.000);2050000,00;5;100,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
16:15:12;11;RGBA(0.055, 0.218, 0.753, 0.000);2050000,00;5;100,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
16:15:13;12;RGBA(0.055, 0.218, 0.753, 0.000);2000000,00;5;0,00;RGBA(0.055, 0.218, 0.753, 0.000);Executed
16:15:14;13;RGBA(0.753, 0.055, 0.736, 0.000);2000000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:14;14;RGBA(0.085, 0.753, 0.055, 0.000);1478572,00;5;100,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:14;15;RGBA(0.753, 0.055, 0.736, 0.000);2000000,00;4;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:15;16;RGBA(0.085, 0.753, 0.055, 0.000);1192857,00;4;100,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:15;17;RGBA(0.085, 0.753, 0.055, 0.000);2357143,00;3;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:15;18;RGBA(0.753, 0.055, 0.736, 0.000);2000000,00;2;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:17;19;RGBA(0.755, 0.055, 0.055, 0.000);2050000,00;5;100,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
16:15:18;20;RGBA(0.755, 0.055, 0.055, 0.000);2050000,00;5;100,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
16:15:18;21;RGBA(0.755, 0.055, 0.055, 0.000);2000000,00;5;0,00;RGBA(0.755, 0.055, 0.055, 0.000);Executed
16:15:19;22;RGBA(0.753, 0.055, 0.736, 0.000);2050000,00;5;100,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:20;23;RGBA(0.753, 0.055, 0.736, 0.000);2000000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
16:15:20;24;RGBA(0.753, 0.055, 0.736, 0.000);2000000,00;5;0,00;RGBA(0.753, 0.055, 0.736, 0.000);Executed
